hand,win_rate,tie_rate
AA,0.848,0.0056
KK,0.8238,0.0054
QQ,0.7919,0.0057
JJ,0.771,0.0075
TT,0.7446,0.0075
99,0.7149,0.0071
88,0.6896,0.0081
KAs,0.6693,0.0158
77,0.6553,0.0105
QAs,0.6501,0.0197
JAs,0.6484,0.0186
KAo,0.646,0.0177
TAs,0.6425,0.0209
QAo,0.6375,0.0219
66,0.6374,0.0108
JAo,0.6305,0.0183
QKs,0.6244,0.02
9As,0.6185,0.0264
JKs,0.6122,0.0215
8As,0.6096,0.0289
TAo,0.608,0.0226
QKo,0.6074,0.0207
55,0.603,0.0167
TKs,0.5997,0.0266
JQs,0.5904,0.0249
JKo,0.5903,0.0228
9Ao,0.5895,0.0252
7As,0.587,0.029
8Ao,0.5852,0.0309
TKo,0.5848,0.0251
5As,0.582,0.0371
TQs,0.5809,0.0284
9Ks,0.5799,0.0256
6As,0.5773,0.0358
4As,0.5737,0.038
9Ko,0.5736,0.028
8Ks,0.5716,0.0298
7Ks,0.571,0.0301
JQo,0.5686,0.025
7Ao,0.5629,0.0359
5Ao,0.5626,0.0405
TJs,0.5621,0.026
44,0.562,0.0162
9Qs,0.5619,0.0282
3As,0.5615,0.0395
2As,0.5583,0.0391
6Ao,0.5575,0.0337
TQo,0.5569,0.0264
4Ao,0.55,0.0407
8Qs,0.5487,0.0302
8Ko,0.5483,0.0283
9Js,0.5462,0.0325
TJo,0.5409,0.0284
6Ks,0.5404,0.0359
9Qo,0.5402,0.0276
3Ao,0.5379,0.0377
5Ks,0.5365,0.0402
33,0.5313,0.015
7Ko,0.5287,0.0347
2Ao,0.5273,0.0385
9Ts,0.5259,0.033
6Ko,0.525,0.0377
8Qo,0.5249,0.0308
3Ks,0.5235,0.0388
7Qs,0.5217,0.0342
4Ks,0.5191,0.0423
5Ko,0.5186,0.0396
9Jo,0.5152,0.0318
2Ks,0.5146,0.0382
4Ko,0.5125,0.0427
8Js,0.5115,0.0359
6Qs,0.509,0.042
5Qs,0.5058,0.0435
22,0.5053,0.0189
8Ts,0.5047,0.0374
7Js,0.5035,0.0376
9To,0.4989,0.0318
3Ko,0.4979,0.0424
8Jo,0.497,0.039
7Qo,0.4943,0.0374
6Qo,0.4905,0.0413
4Qs,0.4899,0.0417
3Qs,0.4895,0.0427
7Ts,0.4875,0.0395
89s,0.487,0.039
8To,0.4856,0.0366
2Qs,0.4847,0.0415
5Qo,0.482,0.043
6Js,0.4816,0.042
2Ko,0.4784,0.0443
5Js,0.478,0.0409
7Jo,0.4746,0.039
79s,0.4715,0.0429
4Qo,0.4686,0.0438
4Js,0.4682,0.0437
6Ts,0.465,0.0455
7To,0.4641,0.0429
3Qo,0.4582,0.0424
78s,0.4576,0.0477
2Js,0.4568,0.0427
6Jo,0.4556,0.0434
89o,0.4539,0.0438
2Qo,0.4529,0.0429
69s,0.4512,0.0439
3Js,0.4507,0.0448
5Jo,0.4503,0.0471
4Jo,0.4457,0.047
5Ts,0.4433,0.0443
4Ts,0.4432,0.0482
68s,0.442,0.0477
6To,0.4404,0.0418
3Jo,0.4311,0.0481
79o,0.4284,0.0449
78o,0.4259,0.0481
69o,0.4255,0.0464
59s,0.4245,0.0471
2Ts,0.4237,0.0428
58s,0.4225,0.0502
3Ts,0.4217,0.0481
67s,0.4215,0.0506
2Jo,0.4192,0.0473
5To,0.4148,0.0459
57s,0.4136,0.0527
49s,0.4115,0.0465
39s,0.4098,0.0489
59o,0.4041,0.0507
56s,0.4031,0.0539
4To,0.403,0.047
29s,0.4024,0.0479
48s,0.402,0.0522
3To,0.4006,0.0505
68o,0.4006,0.0528
2To,0.3973,0.0502
39o,0.3921,0.053
58o,0.3899,0.0537
47s,0.3887,0.0574
67o,0.3869,0.0558
46s,0.3861,0.0535
49o,0.3832,0.0507
38s,0.3823,0.0522
28s,0.3786,0.0526
35s,0.3757,0.0578
45s,0.3742,0.0651
36s,0.3737,0.0565
29o,0.3736,0.0471
37s,0.3719,0.0571
48o,0.3697,0.0556
57o,0.3697,0.0595
56o,0.3668,0.0615
34s,0.3641,0.06
27s,0.3627,0.0524
46o,0.3575,0.0585
25s,0.3519,0.0606
26s,0.3471,0.0605
47o,0.3461,0.0567
38o,0.3447,0.0525
45o,0.3435,0.0627
28o,0.3415,0.0528
37o,0.3406,0.0591
36o,0.3327,0.054
24s,0.3312,0.0592
23s,0.328,0.0581
35o,0.3247,0.0615
27o,0.3173,0.0566
34o,0.3139,0.0609
26o,0.3081,0.0614
25o,0.3076,0.0626
24o,0.301,0.0593
23o,0.2948,0.0647
